Regulator,Target,RegulatorEnsembleID,TargetEnsembleID,diseaseCategory,DiseaseName2,RegulationDiretion,ExpressionPattern,RegulatorType,TargetType,Target_cleaned,Regulator_cleaned,Regulator_cleaned2,Target_cleaned2
AL589986.2,MDM2,ENSG00000236427,ENSG00000135679,Cancer,Cervical cancer,interact,downregulation,lncRNA,PCG,MDM2,AL589986.2,AL589986.2,MDM2
AL589986.2,DHX9,ENSG00000236427,ENSG00000135829,Cancer,Cervical cancer,interact,downregulation,lncRNA,PCG,DHX9,AL589986.2,AL589986.2,DHX9
C5orf66-AS1,RING1,ENSG00000249082,ENSG00000204227,Cancer,Cervical cancer,positively-E,upregulation,lncRNA,PCG,RING1,C5orf66-AS1,C5orf66-AS1,RING1
SNHG1,NOTCH1,ENSG00000255717,ENSG00000148400,Cancer,Pancreatic cancer,positively-E,upregulation,lncRNA,PCG,NOTCH1,SNHG1,SNHG1,NOTCH1
ADAMTS9-AS2,ITGA6,ENSG00000241684,ENSG00000091409,Cancer,Salivary gland carcinoma,positively-E,upregulation,lncRNA,PCG,ITGA6,ADAMTS9-AS2,ADAMTS9-AS2,ITGA6
SNHG6,MAPK6,ENSG00000245910,ENSG00000069956,Cancer,Breast cancer,positively-E,upregulation,lncRNA,PCG,MAPK6,SNHG6,SNHG6,MAPK6
LINC00472,PDCD4,ENSG00000233237,ENSG00000150593,Cancer,Liver cancer,positively-E,downregulation,lncRNA,PCG,PDCD4,LINC00472,LINC00472,PDCD4
snaR,TGFB1,,ENSG00000105329,Cancer,Larynx cancer,positively-E,upregulation,lncRNA,PCG,TGFB1,snaR,snaR,TGFB1
AFAP1-AS1,AFAP1,ENSG00000272620,ENSG00000196526,Cancer,Lung cancer,positively-E,upregulation,lncRNA,PCG,AFAP1,AFAP1-AS1,AFAP1-AS1,AFAP1
SNHG4,miR-224-3p,ENSG00000281398,ENSG00000284363,Cancer,Osteosarcoma,negatively-F,upregulation,lncRNA,miRNA,miR-224-3p,SNHG4,SNHG4,miR-224-3p
HOTAIR,ST8SIA4,ENSG00000228630,ENSG00000113532,Cancer,Kidney cancer,positively-E,upregulation,lncRNA,PCG,ST8SIA4,HOTAIR,HOTAIR,ST8SIA4
UCA1,MAPK1,ENSG00000214049,ENSG00000100030,Cancer,Lung cancer,positively-E,upregulation,lncRNA,PCG,MAPK1,UCA1,UCA1,MAPK1
UCA1,miR-143,ENSG00000214049,ENSG00000284182,Cancer,Lung cancer,positively-E,upregulation,lncRNA,miRNA,miR-143,UCA1,UCA1,miR-143
FENDRR,miR-761,ENSG00000268388,ENSG00000283899,Cancer,Lung cancer,negatively-F,downregulation,lncRNA,miRNA,miR-761,FENDRR,FENDRR,miR-761
LINC01503,FOXK1,ENSG00000233901,ENSG00000164916,Cancer,Colorectal cancer,positively-E,upregulation,lncRNA,TF,FOXK1,LINC01503,LINC01503,FOXK1
LINC00662,LIN28A,ENSG00000261824,ENSG00000131914,Cancer,Lung cancer,interact,upregulation,lncRNA,TF,LIN28A,LINC00662,LINC00662,LIN28A
TUG1,YAP1,ENSG00000253352,ENSG00000137693,Cancer,Kidney cancer,positively-E,upregulation,lncRNA,PCG,YAP1,TUG1,TUG1,YAP1
PVT1,miR-26b,ENSG00000249859,ENSG00000199121,Cancer,Colorectal cancer,negatively-F,upregulation,lncRNA,miRNA,miR-26b,PVT1,PVT1,miR-26b
LINC00844,NDRG1,ENSG00000237949,ENSG00000104419,Cancer,Prostate cancer,positively-E,downregulation,lncRNA,PCG,NDRG1,LINC00844,LINC00844,NDRG1
CYTOR,miR-497,ENSG00000222041,ENSG00000284027,Cancer,Myeloma,negatively-F,upregulation,lncRNA,miRNA,miR-497,CYTOR,CYTOR,miR-497
IFNG-AS1,ESRP2,ENSG00000255733,ENSG00000103067,Endocrine system disease,Pituitary adenoma,interact,upregulation,lncRNA,PCG,ESRP2,IFNG-AS1,IFNG-AS1,ESRP2
TP73-AS1,SDAD1,ENSG00000227372,ENSG00000198301,Cancer,Gastric cancer,positively-E,upregulation,lncRNA,PCG,SDAD1,TP73-AS1,TP73-AS1,SDAD1
AR,TMPO-AS1,ENSG00000169083,ENSG00000257167,Cancer,Prostate cancer,negatively-E,upregulation,TF,lncRNA,TMPO-AS1,AR,AR,TMPO-AS1
MEG3,SMAD7,ENSG00000214548,ENSG00000101665,Cardiovascular system disease,Eclampsia,positively-E,downregulation,lncRNA,TF,SMAD7,MEG3,MEG3,SMAD7
CEBPB,UCA1,ENSG00000172216,ENSG00000214049,Cancer,Urinary bladder cancer,positively-E,upregulation,TF,lncRNA,UCA1,CEBPB,CEBPB,UCA1
CDKN2B-AS1,ARHGAP18,ENSG00000240498,ENSG00000146376,Cancer,Liver cancer,positively-E,upregulation,lncRNA,PCG,ARHGAP18,CDKN2B-AS1,CDKN2B-AS1,ARHGAP18
CDKN2B-AS1,KLF13,ENSG00000240498,ENSG00000169926,Cancer,Liver cancer,negatively-E,upregulation,lncRNA,TF,KLF13,CDKN2B-AS1,CDKN2B-AS1,KLF13
LINC00707,ELAVL1,ENSG00000238266,ENSG00000066044,Cancer,Gastric cancer,interact,upregulation,lncRNA,PCG,ELAVL1,LINC00707,LINC00707,ELAVL1
PDCD4-AS1,PDCD4,ENSG00000203497,ENSG00000150593,Cancer,Breast cancer,positively-F,downregulation,lncRNA,PCG,PDCD4,PDCD4-AS1,PDCD4-AS1,PDCD4
CCDC144NL-AS1,MMP9,ENSG00000233098,ENSG00000100985,Reproductive system disease,Endometriosis,positively-E,upregulation,lncRNA,PCG,MMP9,CCDC144NL-AS1,CCDC144NL-AS1,MMP9
CCDC144NL-AS1,VIM,ENSG00000233098,ENSG00000026025,Reproductive system disease,Endometriosis,positively-E,upregulation,lncRNA,PCG,VIM,CCDC144NL-AS1,CCDC144NL-AS1,VIM
MIR4435-2HG,FZD7,ENSG00000172965,ENSG00000155760,Cancer,Breast cancer,positively-E,upregulation,lncRNA,PCG,FZD7,MIR4435-2HG,MIR4435-2HG,FZD7
CDKN2B-AS1,NAP1L1,ENSG00000240498,ENSG00000187109,Cancer,Liver cancer,positively-E,upregulation,lncRNA,PCG,NAP1L1,CDKN2B-AS1,CDKN2B-AS1,NAP1L1
OIP5-AS1,OIP5,ENSG00000247556,ENSG00000104147,Cancer,Urinary bladder cancer,positively-E,upregulation,lncRNA,PCG,OIP5,OIP5-AS1,OIP5-AS1,OIP5
MAP3K20-AS1,CDKN1A,ENSG00000238133,ENSG00000124762,Cancer,Colorectal cancer,negatively-E,upregulation,lncRNA,PCG,CDKN1A,MAP3K20-AS1,MAP3K20-AS1,CDKN1A
ZEB1,HCCL5,ENSG00000148516,ENSG00000263080,Cancer,Liver cancer,positively-E,upregulation,TF,lncRNA,HCCL5,ZEB1,ZEB1,HCCL5
STAT3,LUCAT1,ENSG00000168610,ENSG00000248323,Cancer,Liver cancer,positively-E,upregulation,TF,lncRNA,LUCAT1,STAT3,STAT3,LUCAT1
LUCAT1,STAT3,ENSG00000248323,ENSG00000168610,Cancer,Liver cancer,positively-E,upregulation,lncRNA,TF,STAT3,LUCAT1,LUCAT1,STAT3
NEAT1,CDK14,ENSG00000245532,ENSG00000058091,Cancer,Brain glioma,positively-E,upregulation,lncRNA,PCG,CDK14,NEAT1,NEAT1,CDK14
NEAT1,CXCR4,ENSG00000245532,ENSG00000121966,Cancer,Retinoblastoma,positively-E,upregulation,lncRNA,PCG,CXCR4,NEAT1,NEAT1,CXCR4
LINC00460,SPHK2,ENSG00000233532,ENSG00000063176,Cancer,Thyroid cancer,positively-E,upregulation,lncRNA,PCG,SPHK2,LINC00460,LINC00460,SPHK2
CDKN2B-AS1,CDKN1A,ENSG00000240498,ENSG00000124762,Cancer,Leukemia,negatively-E,upregulation,lncRNA,PCG,CDKN1A,CDKN2B-AS1,CDKN2B-AS1,CDKN1A
CERNA2,CDK6,ENSG00000285972,ENSG00000105810,Cancer,Breast cancer,positively-E,upregulation,lncRNA,PCG,CDK6,CERNA2,CERNA2,CDK6
PANTR1,ROCK1,ENSG00000233639,ENSG00000067900,Cancer,Prostate cancer,positively-E,upregulation,lncRNA,PCG,ROCK1,PANTR1,PANTR1,ROCK1
LSINCT5,HMGA2,ENSG00000281560,ENSG00000149948,Cancer,Liver cancer,interact,upregulation,lncRNA,TF,HMGA2,LSINCT5,LSINCT5,HMGA2
LSINCT5,STAT3,ENSG00000281560,ENSG00000168610,Cancer,Liver cancer,positively-E,upregulation,lncRNA,TF,STAT3,LSINCT5,LSINCT5,STAT3
LSINCT5,BCL2L1,ENSG00000281560,ENSG00000171552,Cancer,Liver cancer,positively-E,upregulation,lncRNA,PCG,BCL2L1,LSINCT5,LSINCT5,BCL2L1
CDKN2B-AS1,miR-323b-5p,ENSG00000240498,ENSG00000208004,Gastrointestinal system disease,Colitis,negatively-E,upregulation,lncRNA,miRNA,miR-323b-5p,CDKN2B-AS1,CDKN2B-AS1,miR-323b-5p
CDKN2B-AS1,TLR4,ENSG00000240498,ENSG00000136869,Gastrointestinal system disease,Colitis,negatively-E,upregulation,lncRNA,PCG,TLR4,CDKN2B-AS1,CDKN2B-AS1,TLR4
CDKN2B-AS1,MYD88,ENSG00000240498,ENSG00000172936,Gastrointestinal system disease,Colitis,negatively-E,upregulation,lncRNA,PCG,MYD88,CDKN2B-AS1,CDKN2B-AS1,MYD88
CDKN2B-AS1,RELA,ENSG00000240498,ENSG00000173039,Gastrointestinal system disease,Colitis,negatively-E,upregulation,lncRNA,TF,RELA,CDKN2B-AS1,CDKN2B-AS1,RELA
AC123023.1,JAG2,ENSG00000236452,ENSG00000184916,Cancer,Colorectal cancer,positively-E,upregulation,lncRNA,PCG,JAG2,AC123023.1,AC123023.1,JAG2
CARMN,AXIN2,ENSG00000249669,ENSG00000168646,Cancer,Urinary bladder cancer,positively-E,downregulation,lncRNA,PCG,AXIN2,CARMN,CARMN,AXIN2
CASC2,miR-21,ENSG00000177640,ENSG00000284190,Cancer,Oral cavity cancer,negatively-E,downregulation,lncRNA,miRNA,miR-21,CASC2,CASC2,miR-21
XIST,ZEB1,ENSG00000229807,ENSG00000148516,Cancer,Retinoblastoma,positively-E,upregulation,lncRNA,TF,ZEB1,XIST,XIST,ZEB1
XIST,ZEB2,ENSG00000229807,ENSG00000169554,Cancer,Retinoblastoma,positively-E,upregulation,lncRNA,TF,ZEB2,XIST,XIST,ZEB2
MEG3,miR-96,ENSG00000214548,ENSG00000199158,Cancer,Urinary bladder cancer,negatively-E,downregulation,lncRNA,miRNA,miR-96,MEG3,MEG3,miR-96
MEG3,TPM1,ENSG00000214548,ENSG00000140416,Cancer,Urinary bladder cancer,positively-E,downregulation,lncRNA,PCG,TPM1,MEG3,MEG3,TPM1
UCA1,ZEB2,ENSG00000214049,ENSG00000169554,Cancer,Gastric cancer,positively-E,upregulation,lncRNA,TF,ZEB2,UCA1,UCA1,ZEB2
GAS5,miR-26a,ENSG00000234741,ENSG00000207789,Cardiovascular system disease,Atherosclerosis,negatively-F,upregulation,lncRNA,miRNA,miR-26a,GAS5,GAS5,miR-26a
MIR31HG,HIF1A,ENSG00000171889,ENSG00000100644,Cancer,Head and neck cancer,negatively-E,upregulation,lncRNA,TF,HIF1A,MIR31HG,MIR31HG,HIF1A
MIR31HG,CDKN1A,ENSG00000171889,ENSG00000124762,Cancer,Head and neck cancer,positively-E,upregulation,lncRNA,PCG,CDKN1A,MIR31HG,MIR31HG,CDKN1A
NEAT1,LEF1,ENSG00000245532,ENSG00000138795,Cancer,Endometrial cancer,positively-E,downregulation,lncRNA,TF,LEF1,NEAT1,NEAT1,LEF1
NORAD,FOXO6,ENSG00000260032,ENSG00000281518,Cancer,Gastric cancer,positively-E,upregulation,lncRNA,TF,FOXO6,NORAD,NORAD,FOXO6
BDNF-AS,CASP3,ENSG00000245573,ENSG00000164305,Cancer,Osteosarcoma,positively-E,downregulation,lncRNA,PCG,CASP3,BDNF-AS,BDNF-AS,CASP3
NBAT1,SOX9,ENSG00000260455,ENSG00000125398,Cancer,Gastric cancer,negatively-F,upregulation,lncRNA,TF,SOX9,NBAT1,NBAT1,SOX9
SOX9,NBAT1,ENSG00000125398,ENSG00000260455,Cancer,Gastric cancer,negatively-E,upregulation,TF,lncRNA,NBAT1,SOX9,SOX9,NBAT1
UCA1,miR-185-5p,ENSG00000214049,ENSG00000208023,Cancer,Melanoma,negatively-F,upregulation,lncRNA,miRNA,miR-185-5p,UCA1,UCA1,miR-185-5p
SNHG12,FOXP1,ENSG00000197989,ENSG00000114861,Cancer,Brain glioma,positively-E,upregulation,lncRNA,TF,FOXP1,SNHG12,SNHG12,FOXP1
FOXD2-AS1,AKT1,ENSG00000237424,ENSG00000142208,Cancer,Melanoma,negatively-E,upregulation,lncRNA,PCG,AKT1,FOXD2-AS1,FOXD2-AS1,AKT1
IGF2-AS,IGF2,ENSG00000099869,ENSG00000167244,Cancer,Prostate cancer,negatively-E,downregulation,lncRNA,PCG,IGF2,IGF2-AS,IGF2-AS,IGF2
THRIL,CCL2,ENSG00000280634,ENSG00000108691,Immune system disease,Lupus erythematosus,positively-E,upregulation,lncRNA,PCG,CCL2,THRIL,THRIL,CCL2
STAT3,HNF1A-AS1,ENSG00000168610,ENSG00000241388,Cancer,Oral cavity cancer,positively-E,upregulation,TF,lncRNA,HNF1A-AS1,STAT3,STAT3,HNF1A-AS1
HNF1A-AS1,NOTCH1,ENSG00000241388,ENSG00000148400,Cancer,Oral cavity cancer,positively-E,upregulation,lncRNA,PCG,NOTCH1,HNF1A-AS1,HNF1A-AS1,NOTCH1
HNF1A-AS1,HES1,ENSG00000241388,ENSG00000114315,Cancer,Oral cavity cancer,positively-E,upregulation,lncRNA,TF,HES1,HNF1A-AS1,HNF1A-AS1,HES1
HOTTIP,CTNNB1,ENSG00000243766,ENSG00000168036,Cancer,Ovarian cancer,positively-E,upregulation,lncRNA,PCG,CTNNB1,HOTTIP,HOTTIP,CTNNB1
FER1L4,PTEN,ENSG00000088340,ENSG00000171862,Cancer,Liver cancer,positively-E,downregulation,lncRNA,PCG,PTEN,FER1L4,FER1L4,PTEN
FLVCR1-DT,E2F3,ENSG00000198468,ENSG00000112242,Cancer,Lung cancer,positively-E,upregulation,lncRNA,TF,E2F3,FLVCR1-DT,FLVCR1-DT,E2F3
SNHG6,E2F7,ENSG00000245910,ENSG00000165891,Cancer,Lung cancer,positively-E,upregulation,lncRNA,TF,E2F7,SNHG6,SNHG6,E2F7
DBH-AS1,miR-138,ENSG00000225756,,Cancer,Liver cancer,negatively-F,upregulation,lncRNA,miRNA,miR-138,DBH-AS1,DBH-AS1,miR-138
kcna3,YAP1,ENSG00000177272,ENSG00000137693,Cancer,Colorectal cancer,negatively-E,downregulation,lncRNA,PCG,YAP1,kcna3,kcna3,YAP1
LINC00473,MMP2,ENSG00000223414,ENSG00000087245,Cancer,Gastric cancer,positively-E,upregulation,lncRNA,PCG,MMP2,LINC00473,LINC00473,MMP2
LINC00473,MMP9,ENSG00000223414,ENSG00000100985,Cancer,Gastric cancer,positively-E,upregulation,lncRNA,PCG,MMP9,LINC00473,LINC00473,MMP9
GAS5,HOXA5,ENSG00000234741,ENSG00000106004,Cancer,Ovarian cancer,positively-E,downregulation,lncRNA,TF,HOXA5,GAS5,GAS5,HOXA5
NIFK-AS1,miR-146a,ENSG00000236859,ENSG00000283733,Cancer,Endometrial cancer,negatively-F,downregulation,lncRNA,miRNA,miR-146a,NIFK-AS1,NIFK-AS1,miR-146a
FALEC,STAT3,ENSG00000228126,ENSG00000168610,Cancer,Colorectal cancer,interact,upregulation,lncRNA,TF,STAT3,FALEC,FALEC,STAT3
LINC00599,KLF16,ENSG00000253230,ENSG00000129911,Cancer,Brain glioma,positively-E,downregulation,lncRNA,TF,KLF16,LINC00599,LINC00599,KLF16
XIST,miR-214-3p,ENSG00000229807,ENSG00000283844,Cancer,Ovarian cancer,negatively-F,downregulation,lncRNA,miRNA,miR-214-3p,XIST,XIST,miR-214-3p
HOTAIR,MAP1LC3B,ENSG00000228630,ENSG00000140941,Cancer,Oral cavity cancer,positively-E,upregulation,lncRNA,PCG,MAP1LC3B,HOTAIR,HOTAIR,MAP1LC3B
HOTAIR,ATG3,ENSG00000228630,ENSG00000144848,Cancer,Oral cavity cancer,positively-E,upregulation,lncRNA,PCG,ATG3,HOTAIR,HOTAIR,ATG3
HOTAIR,ATG7,ENSG00000228630,ENSG00000197548,Cancer,Oral cavity cancer,positively-E,upregulation,lncRNA,PCG,ATG7,HOTAIR,HOTAIR,ATG7
HOTAIR,MTOR,ENSG00000228630,ENSG00000198793,Cancer,Oral cavity cancer,negatively-E,upregulation,lncRNA,PCG,MTOR,HOTAIR,HOTAIR,MTOR
miR-182-5p,MALAT1,ENSG00000207990,ENSG00000251562,Cancer,Kidney cancer,negatively-E,downregulation,miRNA,lncRNA,MALAT1,miR-182-5p,miR-182-5p,MALAT1
MIR4435-2HG,miR-6754-5p,ENSG00000172965,ENSG00000278349,Cancer,Lung cancer,negatively-F,upregulation,lncRNA,miRNA,miR-6754-5p,MIR4435-2HG,MIR4435-2HG,miR-6754-5p
MALAT1,SOCS1,ENSG00000251562,ENSG00000185338,Cardiovascular system disease,Atherosclerosis,positively-E,upregulation,lncRNA,PCG,SOCS1,MALAT1,MALAT1,SOCS1
SOX2-OT,miR-194-5p,ENSG00000242808,,Cancer,Gastric cancer,negatively-F,upregulation,lncRNA,miRNA,miR-194-5p,SOX2-OT,SOX2-OT,miR-194-5p
MALAT1,miR-145,ENSG00000251562,ENSG00000276365,Cancer,Breast cancer,negatively-E,upregulation,lncRNA,miRNA,miR-145,MALAT1,MALAT1,miR-145
VPS9D1-AS1,MYC,ENSG00000261373,ENSG00000136997,Cancer,Prostate cancer,positively-E,upregulation,lncRNA,TF,MYC,VPS9D1-AS1,VPS9D1-AS1,MYC
HOXA10-AS,HOXA10,ENSG00000253187,ENSG00000253293,Cancer,Brain glioma,positively-E,upregulation,lncRNA,TF,HOXA10,HOXA10-AS,HOXA10-AS,HOXA10
MALAT1,HIF1A,ENSG00000251562,ENSG00000100644,Cardiovascular system disease,Ischemia,negatively-E,upregulation,lncRNA,TF,HIF1A,MALAT1,MALAT1,HIF1A
MALAT1,NFKB1,ENSG00000251562,ENSG00000109320,Cardiovascular system disease,Ischemia,negatively-E,upregulation,lncRNA,TF,NFKB1,MALAT1,MALAT1,NFKB1
IATPR,ROCK1,ENSG00000233387,ENSG00000067900,Cancer,Liver cancer,positively-E,upregulation,lncRNA,PCG,ROCK1,IATPR,IATPR,ROCK1
RMRP,MYC,ENSG00000269900,ENSG00000136997,Cancer,Myeloma,positively-E,upregulation,lncRNA,TF,MYC,RMRP,RMRP,MYC
TMEM75,SIM2,ENSG00000280055,ENSG00000159263,Cancer,Colorectal cancer,positively-E,upregulation,lncRNA,PCG,SIM2,TMEM75,TMEM75,SIM2
HOXA-AS2,HOXA3,ENSG00000253552,ENSG00000105997,Cancer,Thyroid cancer,positively-E,upregulation,lncRNA,TF,HOXA3,HOXA-AS2,HOXA-AS2,HOXA3
PSG10P,IL1RAP,ENSG00000248257,ENSG00000196083,Cardiovascular system disease,Eclampsia,positively-E,downregulation,lncRNA,PCG,IL1RAP,PSG10P,PSG10P,IL1RAP
MALAT1,CDKN1A,ENSG00000251562,ENSG00000124762,Reproductive system disease,Endometriosis,positively-E,downregulation,lncRNA,PCG,CDKN1A,MALAT1,MALAT1,CDKN1A
DUXAP8,CDKN1A,ENSG00000271672,ENSG00000124762,Cancer,Pancreatic cancer,negatively-E,upregulation,lncRNA,PCG,CDKN1A,DUXAP8,DUXAP8,CDKN1A
DUXAP8,KLF2,ENSG00000271672,ENSG00000127528,Cancer,Pancreatic cancer,negatively-E,upregulation,lncRNA,TF,KLF2,DUXAP8,DUXAP8,KLF2
LINC00961,SNAI2,ENSG00000235387,ENSG00000019549,Cancer,Kidney cancer,negatively-E,downregulation,lncRNA,TF,SNAI2,LINC00961,LINC00961,SNAI2
LINC00961,CDH2,ENSG00000235387,ENSG00000170558,Cancer,Kidney cancer,negatively-E,downregulation,lncRNA,PCG,CDH2,LINC00961,LINC00961,CDH2
DANCR,ROCK1,ENSG00000226950,ENSG00000067900,Cancer,Cervical cancer,positively-E,upregulation,lncRNA,PCG,ROCK1,DANCR,DANCR,ROCK1
H19,TWIST1,ENSG00000130600,ENSG00000122691,Cancer,Liver cancer,positively-E,upregulation,lncRNA,TF,TWIST1,H19,H19,TWIST1
HOTAIR,HIF1A,ENSG00000228630,ENSG00000100644,Cancer,Cervical cancer,positively-E,upregulation,lncRNA,TF,HIF1A,HOTAIR,HOTAIR,HIF1A
DLX6-AS1,E2F1,ENSG00000231764,ENSG00000101412,Cancer,Brain glioma,positively-E,upregulation,lncRNA,TF,E2F1,DLX6-AS1,DLX6-AS1,E2F1
GAS5,STAT3,ENSG00000234741,ENSG00000168610,Cancer,Cervical cancer,negatively-E,downregulation,lncRNA,TF,STAT3,GAS5,GAS5,STAT3
GAS5,miR-21,ENSG00000234741,ENSG00000284190,Cancer,Cervical cancer,negatively-F,downregulation,lncRNA,miRNA,miR-21,GAS5,GAS5,miR-21
GAS5,PTEN,ENSG00000234741,ENSG00000171862,Cancer,Cervical cancer,positively-E,downregulation,lncRNA,PCG,PTEN,GAS5,GAS5,PTEN
GAS5,AKT1,ENSG00000234741,ENSG00000142208,Cancer,Cervical cancer,negatively-E,downregulation,lncRNA,PCG,AKT1,GAS5,GAS5,AKT1
HOTAIR,IGF2BP2,ENSG00000228630,ENSG00000073792,Cancer,Colorectal cancer,positively-E,upregulation,lncRNA,PCG,IGF2BP2,HOTAIR,HOTAIR,IGF2BP2
MALAT1,ACVR2B,ENSG00000251562,ENSG00000114739,Cancer,Kidney cancer,positively-E,upregulation,lncRNA,PCG,ACVR2B,MALAT1,MALAT1,ACVR2B
ZEB1-AS1,ZEB1,ENSG00000237036,ENSG00000148516,Cancer,Cervical cancer,positively-E,upregulation,lncRNA,TF,ZEB1,ZEB1-AS1,ZEB1-AS1,ZEB1
HNF1A-AS1,CDC34,ENSG00000241388,ENSG00000099804,Cancer,Gastric cancer,positively-E,upregulation,lncRNA,PCG,CDC34,HNF1A-AS1,HNF1A-AS1,CDC34
EGR1,HNF1A-AS1,ENSG00000120738,ENSG00000241388,Cancer,Gastric cancer,positively-E,upregulation,TF,lncRNA,HNF1A-AS1,EGR1,EGR1,HNF1A-AS1
APTR,YAP1,ENSG00000214293,ENSG00000137693,Cancer,Osteosarcoma,positively-E,upregulation,lncRNA,PCG,YAP1,APTR,APTR,YAP1
Lnc-EPIC1,MYC,ENSG00000224271,ENSG00000136997,Cancer,Cholangiocarcinoma,interact,upregulation,lncRNA,TF,MYC,Lnc-EPIC1,Lnc-EPIC1,MYC
PVT1,miR-519d-3p,ENSG00000249859,ENSG00000207981,Cancer,Larynx cancer,negatively-F,upregulation,lncRNA,miRNA,miR-519d-3p,PVT1,PVT1,miR-519d-3p
SNHG1,GSK3B,ENSG00000255717,ENSG00000082701,Nervous system disease,Parkinson's disease,positively-E,upregulation,lncRNA,PCG,GSK3B,SNHG1,SNHG1,GSK3B
MNX1-AS1,MAPK3,ENSG00000243479,ENSG00000102882,Cancer,Cervical cancer,positively-F,upregulation,lncRNA,PCG,MAPK3,MNX1-AS1,MNX1-AS1,MAPK3
MNX1-AS1,MAPK1,ENSG00000243479,ENSG00000100030,Cancer,Cervical cancer,positively-F,upregulation,lncRNA,PCG,MAPK1,MNX1-AS1,MNX1-AS1,MAPK1
MNX1-AS1,MAPK8,ENSG00000243479,ENSG00000107643,Cancer,Cervical cancer,positively-F,upregulation,lncRNA,PCG,MAPK8,MNX1-AS1,MNX1-AS1,MAPK8
UCA1,miR-26a,ENSG00000214049,ENSG00000207789,Cardiovascular system disease,Atherosclerosis,negatively-F,upregulation,lncRNA,miRNA,miR-26a,UCA1,UCA1,miR-26a
HOXC-AS3,YBX1,ENSG00000251151,ENSG00000065978,Cancer,Gastric cancer,interact,upregulation,lncRNA,TF,YBX1,HOXC-AS3,HOXC-AS3,YBX1
miR-212,MEG3,ENSG00000267195,ENSG00000214548,Gastrointestinal system disease,Fibrosis,negatively-F,downregulation,miRNA,lncRNA,MEG3,miR-212,miR-212,MEG3
MEG3,SMO,ENSG00000214548,ENSG00000128602,Gastrointestinal system disease,Fibrosis,interact,downregulation,lncRNA,PCG,SMO,MEG3,MEG3,SMO
LINC00460,KDM2A,ENSG00000233532,ENSG00000173120,Cancer,Gastric cancer,positively-E,upregulation,lncRNA,PCG,KDM2A,LINC00460,LINC00460,KDM2A
UBE2CP3-001,MMP9,,ENSG00000100985,Cancer,Brain glioma,positively-E,upregulation,lncRNA,PCG,MMP9,UBE2CP3-001,UBE2CP3-001,MMP9
UBE2CP3-001,TRAF3IP2,,ENSG00000056972,Cancer,Brain glioma,positively-E,upregulation,lncRNA,PCG,TRAF3IP2,UBE2CP3-001,UBE2CP3-001,TRAF3IP2
MIAT,miR-330-5p,ENSG00000225783,ENSG00000284544,Cancer,Ovarian cancer,negatively-F,upregulation,lncRNA,miRNA,miR-330-5p,MIAT,MIAT,miR-330-5p
HAGLR,CDKN1C,ENSG00000224189,ENSG00000129757,Cancer,Osteosarcoma,negatively-E,upregulation,lncRNA,PCG,CDKN1C,HAGLR,HAGLR,CDKN1C
SNHG12,MCL1,ENSG00000197989,ENSG00000143384,Cancer,Osteosarcoma,positively-E,upregulation,lncRNA,PCG,MCL1,SNHG12,SNHG12,MCL1
MEG3,PDCD4,ENSG00000214548,ENSG00000150593,Cancer,Colorectal cancer,positively-E,downregulation,lncRNA,PCG,PDCD4,MEG3,MEG3,PDCD4
FTH1P3,SP1,ENSG00000213453,ENSG00000185591,Cancer,Esophageal cancer,positively-E,upregulation,lncRNA,TF,SP1,FTH1P3,FTH1P3,SP1
FTH1P3,RELA,ENSG00000213453,ENSG00000173039,Cancer,Esophageal cancer,positively-E,upregulation,lncRNA,TF,RELA,FTH1P3,FTH1P3,RELA
NORAD,ZEB2,ENSG00000260032,ENSG00000169554,Cancer,Cervical cancer,positively-E,upregulation,lncRNA,TF,ZEB2,NORAD,NORAD,ZEB2
OIP5-AS1,CDK14,ENSG00000247556,ENSG00000058091,Cancer,Osteosarcoma,positively-E,upregulation,lncRNA,PCG,CDK14,OIP5-AS1,OIP5-AS1,CDK14
THORLNC,MYC,ENSG00000226856,ENSG00000136997,Cancer,Retinoblastoma,positively-E,upregulation,lncRNA,TF,MYC,THORLNC,THORLNC,MYC
FOXD2-AS1,CCND1,ENSG00000237424,ENSG00000110092,Musculoskeletal system disease,Bone disease,positively-E,upregulation,lncRNA,PCG,CCND1,FOXD2-AS1,FOXD2-AS1,CCND1
HAGLR,MMP9,ENSG00000224189,ENSG00000100985,Cancer,Lung cancer,positively-E,upregulation,lncRNA,PCG,MMP9,HAGLR,HAGLR,MMP9
LOC441178,ROCK1,ENST00000400831,ENSG00000067900,Cancer,Oral cavity cancer,negatively-E,downregulation,lncRNA,PCG,ROCK1,LOC441178,LOC441178,ROCK1
TUG1,miR-219a-5p,ENSG00000253352,,Cancer,Osteosarcoma,negatively-F,upregulation,lncRNA,miRNA,miR-219a-5p,TUG1,TUG1,miR-219a-5p
FOXM1,TUG1,ENSG00000111206,ENSG00000253352,Cancer,Osteosarcoma,positively-E,upregulation,TF,lncRNA,TUG1,FOXM1,FOXM1,TUG1
FALEC,AKT1,ENSG00000228126,ENSG00000142208,Gastrointestinal system disease,Hirschsprung's disease,positively-E,downregulation,lncRNA,PCG,AKT1,FALEC,FALEC,AKT1
LINC01606,miR-423-5p,ENSG00000253301,ENSG00000283935,Cancer,Gastric cancer,negatively-E,upregulation,lncRNA,miRNA,miR-423-5p,LINC01606,LINC01606,miR-423-5p
